# Source: Greiner, T.M. (1991) "Hand Anthropometry of U.S. Army Personnel",
#   NATICK/TR-92/011. n = 1304 female, 1003 male. Values in cm.
# Extracted from the DTIC scan (ADA244533) via OCR; link-length rows were
# cross-validated against the independently measured "tip to wrist crease"
# totals (they close to within 0.3 mm for digits 3,4,5).
measure,F_mean,F_sd,M_mean,M_sd
stature,163.02,6.39,175.74,6.71
hand_length_measured,18.07,0.98,19.41,0.99
hand_breadth_measured,7.95,0.38,9.04,0.42
hand_breadth_digitizer,8.31,0.44,9.53,0.58
hand_circumference,18.65,0.86,21.33,0.98
palm_length,10.09,0.57,11.05,
wrist_breadth,5.70,0.34,6.58,0.45
wrist_circumference,15.14,0.69,17.43,0.82
wrist_to_index_tip,16.95,0.90,18.10,0.91
wrist_to_thumb_tip,11.77,0.68,12.45,0.68
wrist_to_center_of_grip,6.98,0.49,7.60,0.48
d1_link_thenar_crease_to_tip,11.05,0.69,12.34,0.72
d1_metacarpal_link,7.57,0.70,8.23,0.71
d1_proximal_phalanx_link,1.92,0.30,2.11,0.29
d1_distal_phalanx_link,3.08,0.24,3.45,0.26
d1_tip_to_wrist_crease,12.57,0.87,13.79,0.87
d2_link_mcp_to_tip,10.02,0.64,10.83,0.69
d2_metacarpal_link,6.96,0.49,7.68,0.48
d2_proximal_phalanx_link,5.65,0.53,6.08,0.59
d2_medial_phalanx_link,2.11,0.22,2.26,0.24
d2_distal_phalanx_link,2.55,0.21,2.84,0.23
d2_tip_to_wrist_crease,16.99,0.93,18.52,0.99
d3_link_mcp_to_tip,10.03,0.64,10.99,0.70
d3_metacarpal_link,7.81,0.56,8.46,0.60
d3_proximal_phalanx_link,4.97,0.44,5.48,0.50
d3_medial_phalanx_link,2.51,0.27,2.64,0.28
d3_distal_phalanx_link,2.55,0.21,2.87,0.23
d3_tip_to_wrist_crease,17.84,0.98,19.45,1.03
d4_link_mcp_to_tip,9.73,0.65,10.69,0.66
d4_metacarpal_link,7.16,0.53,7.81,0.56
d4_proximal_phalanx_link,4.84,0.34,5.29,0.40
d4_medial_phalanx_link,2.28,0.26,2.43,0.26
d4_distal_phalanx_link,2.61,0.22,2.96,0.24
d4_tip_to_wrist_crease,16.89,0.98,18.50,1.02
d5_link_mcp_to_tip,7.76,0.54,8.60,0.59
d5_metacarpal_link,6.79,0.59,7.39,0.60
d5_proximal_phalanx_link,3.78,0.30,4.15,0.36
d5_medial_phalanx_link,1.63,0.22,1.75,0.24
d5_distal_phalanx_link,2.37,0.20,2.73,0.23
d5_tip_to_wrist_crease,14.55,0.94,15.99,0.98
d2_pip_joint_breadth,1.99,0.13,2.30,0.16
d2_pip_joint_circumference,6.12,0.20,6.84,0.18
d2_dip_joint_circumference,5.08,0.19,5.74,0.16
d3_pip_joint_breadth,1.93,0.13,2.25,0.16
d3_pip_joint_circumference,6.13,0.19,6.96,0.20
d3_dip_joint_circumference,5.09,0.17,5.78,0.16
d4_pip_joint_circumference,5.74,0.19,6.49,0.19
d5_pip_joint_circumference,5.06,0.17,5.78,0.18
d1_ip_joint_circumference,6.30,0.25,7.23,0.29
crotch1_height_thumb_index_web,6.28,0.46,6.91,0.46
crotch2_height,10.05,0.57,11.04,0.61
crotch3_height,10.03,0.60,10.99,0.64
crotch4_height,8.79,0.58,9.66,0.62
